Row,lookup_row,lookup_c,mimc7_first_step,mimc7_step,mimc7_last_step,ISLAST,ISFIRST,x,k,c,xkc,y,row,out
0,0x0,0x0,0x1,0x0,0x0,0x0,0x1,0x1,0x2,0x0,0x3,0x88b,0x0,0x0
1,0x1,0xa15319d39e6ed31a,0x0,0x1,0x0,0x0,0x0,0x88b,0x2,0xa15319d39e6ed31a,0xa15319d39e6edba7,0x1f487f9fa00eb4af,0x1,0x0
2,0x2,0xeb80f6e51bdd8834,0x0,0x1,0x0,0x0,0x0,0x1f487f9fa00eb4af,0x2,0xeb80f6e51bdd8834,0xac97685bbec3ce4,0xe02cb8f4f6b434ed,0x2,0x0
3,0x3,0x99116568b42f2a0c,0x0,0x1,0x0,0x0,0x0,0xe02cb8f4f6b434ed,0x2,0x99116568b42f2a0c,0x793e1e5eaae35efa,0x55ebc0c9cc5fb169,0x3,0x0
4,0x4,0x74737c7f4b51846c,0x0,0x1,0x0,0x0,0x0,0x55ebc0c9cc5fb169,0x2,0x74737c7f4b51846c,0xca5f3d4917b135d7,0xd1e34f0fd3f0b0b9,0x4,0x0
5,0x5,0x1f9c1666e72dfd8a,0x0,0x1,0x0,0x0,0x0,0xd1e34f0fd3f0b0b9,0x2,0x1f9c1666e72dfd8a,0xf17f6576bb1eae45,0x435be25e6b21ece2,0x5,0x0
6,0x6,0xe8d6c2c322893ddf,0x0,0x1,0x0,0x0,0x0,0x435be25e6b21ece2,0x2,0xe8d6c2c322893ddf,0x2c32a5228dab2ac2,0x4cb8ab71530f6222,0x6,0x0
7,0x7,0x6e6ed4feff37e97d,0x0,0x1,0x0,0x0,0x0,0x4cb8ab71530f6222,0x2,0x6e6ed4feff37e97d,0xbb27807052474ba1,0xba92a742d2a0b2fc,0x7,0x0
8,0x8,0x3910148b318b41e2,0x0,0x1,0x0,0x0,0x0,0xba92a742d2a0b2fc,0x2,0x3910148b318b41e2,0xf3a2bbce042bf4e0,0x5f271d1947ebd946,0x8,0x0
9,0x9,0x93d550d60a808f7d,0x0,0x1,0x0,0x0,0x0,0x5f271d1947ebd946,0x2,0x93d550d60a808f7d,0xf2fc6def526c68c5,0xafacacd5b19790cc,0x9,0x0
10,0xa,0x840840b843fd9567,0x0,0x1,0x0,0x0,0x0,0xafacacd5b19790cc,0x2,0x840840b843fd9567,0x33b4ed8ef5952634,0x60aad666e06f069d,0xa,0x0
11,0xb,0xe1ba5f3479a2a708,0x0,0x1,0x0,0x0,0x0,0x60aad666e06f069d,0x2,0xe1ba5f3479a2a708,0x4265359c5a11ada6,0xf8a9cdf92083441d,0xb,0x0
12,0xc,0xf9ea74b202d6cc60,0x0,0x1,0x0,0x0,0x0,0xf8a9cdf92083441d,0x2,0xf9ea74b202d6cc60,0xf29442ac235a107e,0x9cd12efa9dffc7df,0xc,0x0
13,0xd,0x49024acaa051bc9,0x0,0x1,0x0,0x0,0x0,0x9cd12efa9dffc7df,0x2,0x49024acaa051bc9,0xa16153a74804e3aa,0xa93ce799a843afe3,0xd,0x0
14,0xe,0x8ea3dee283f279be,0x0,0x1,0x0,0x0,0x0,0xa93ce799a843afe3,0x2,0x8ea3dee283f279be,0x37e0c67d2c3629a2,0x73ccf303533149aa,0xe,0x0
15,0xf,0x59ad3e624b9a974a,0x0,0x1,0x0,0x0,0x0,0x73ccf303533149aa,0x2,0x59ad3e624b9a974a,0xcd7a31659ecbe0f6,0x39c6a992a2911564,0xf,0x0
16,0x10,0x13662124f4af5451,0x0,0x1,0x0,0x0,0x0,0x39c6a992a2911564,0x2,0x13662124f4af5451,0x4d2ccab7974069b7,0x4f95b0e5c3448e23,0x10,0x0
17,0x11,0x4f2dc31b0a34f588,0x0,0x1,0x0,0x0,0x0,0x4f95b0e5c3448e23,0x2,0x4f2dc31b0a34f588,0x9ec37400cd7983ad,0xa854b28d0d515304,0x11,0x0
18,0x12,0x6973b4851455683,0x0,0x1,0x0,0x0,0x0,0xa854b28d0d515304,0x2,0x6973b4851455683,0xaeebedd55e96a989,0x6df98a60bdd0ed16,0x12,0x0
19,0x13,0xc0abcbf105730aa2,0x0,0x1,0x0,0x0,0x0,0x6df98a60bdd0ed16,0x2,0xc0abcbf105730aa2,0x2ea55652c343f7b9,0x2ec2e1b102256dd4,0x13,0x0
20,0x14,0x523d359425dc1df6,0x0,0x1,0x0,0x0,0x0,0x2ec2e1b102256dd4,0x2,0x523d359425dc1df6,0x8100174528018bcc,0x110fbe198473d01f,0x14,0x0
21,0x15,0x99deafaee89626f4,0x0,0x1,0x0,0x0,0x0,0x110fbe198473d01f,0x2,0x99deafaee89626f4,0xaaee6dc86d09f715,0x4d5253fb5d8d4b4e,0x15,0x0
22,0x16,0x3e4a6869233ad69d,0x0,0x1,0x0,0x0,0x0,0x4d5253fb5d8d4b4e,0x2,0x3e4a6869233ad69d,0x8b9cbc6480c821ed,0x4ead54daa7554490,0x16,0x0
23,0x17,0x4fe7ec737aaa4d8e,0x0,0x1,0x0,0x0,0x0,0x4ead54daa7554490,0x2,0x4fe7ec737aaa4d8e,0x9e95414e21ff9220,0x791382844b1551fc,0x17,0x0
24,0x18,0x6861917ecb2e6e21,0x0,0x1,0x0,0x0,0x0,0x791382844b1551fc,0x2,0x6861917ecb2e6e21,0xe17514031643c01f,0x3eddc4f8c1debe2d,0x18,0x0
25,0x19,0x525cfaba36a3b4d0,0x0,0x1,0x0,0x0,0x0,0x3eddc4f8c1debe2d,0x2,0x525cfaba36a3b4d0,0x913abfb2f88272ff,0x9a93a32a0048ac8f,0x19,0x0
26,0x1a,0xa0098d647133670d,0x0,0x1,0x0,0x0,0x0,0x9a93a32a0048ac8f,0x2,0xa0098d647133670d,0x3a9d308f717c139d,0x1869cfaa8ad43998,0x1a,0x0
27,0x1b,0x2e974700e815a84b,0x0,0x1,0x0,0x0,0x0,0x1869cfaa8ad43998,0x2,0x2e974700e815a84b,0x470116ab72e9e1e5,0x4d30f9535640ba8e,0x1b,0x0
28,0x1c,0x822861c9875d9be9,0x0,0x1,0x0,0x0,0x0,0x4d30f9535640ba8e,0x2,0x822861c9875d9be9,0xcf595b1cdd9e5679,0x320c30d4c638e4b0,0x1c,0x0
29,0x1d,0x4f1d77bd37cdd5c3,0x0,0x1,0x0,0x0,0x0,0x320c30d4c638e4b0,0x2,0x4f1d77bd37cdd5c3,0x8129a891fe06ba75,0xd34c30d2e2f37676,0x1d,0x0
30,0x1e,0x47c7b9215a120597,0x0,0x1,0x0,0x0,0x0,0xd34c30d2e2f37676,0x2,0x47c7b9215a120597,0x1b13e9f53d057c0e,0x38a069f7da64f487,0x1e,0x0
31,0x1f,0xe4b3b9e45f631ff2,0x0,0x1,0x0,0x0,0x0,0x38a069f7da64f487,0x2,0xe4b3b9e45f631ff2,0x1d5423dd39c8147a,0x682b55be5b6c478e,0x1f,0x0
32,0x20,0x61a2e697cb4fc340,0x0,0x1,0x0,0x0,0x0,0x682b55be5b6c478e,0x2,0x61a2e697cb4fc340,0xc9ce3c5626bc0ad0,0xdb2746c6f7cd4e52,0x20,0x0
